"","f_zip","num_facilities","county","region","zip_CMS_overall_rating","zip_CMP_count","zip_DPNA_count","zip_N2009_Abuse","zip_N2009_Admin","zip_N2009_Care","zip_N2009_Environ","zip_N2009_Nutri","zip_N2009_Rights","zip_N2009_Staff","zip_N2009_Total","zip_N2010_Abuse","zip_N2010_Admin","zip_N2010_Care","zip_N2010_Environ","zip_N2010_Nutri","zip_N2010_Rights","zip_N2010_Staff","zip_N2010_Total","zip_N2011_Abuse","zip_N2011_Admin","zip_N2011_Care","zip_N2011_Environ","zip_N2011_Nutri","zip_N2011_Rights","zip_N2011_Staff","zip_N2011_Total","zip_N2012_Abuse","zip_N2012_Admin","zip_N2012_Care","zip_N2012_Environ","zip_N2012_Nutri","zip_N2012_Rights","zip_N2012_Staff","zip_N2012_Total","zip_N2013_Abuse","zip_N2013_Admin","zip_N2013_Care","zip_N2013_Environ","zip_N2013_Nutri","zip_N2013_Rights","zip_N2013_Staff","zip_N2013_Total","zip_PCT_ADMIN","zip_PCT_CAPITAL","zip_PCT_DIRECT","zip_PCT_OCARE","zip_abuse_current","zip_abuse_previous","zip_abuse_prior","zip_abuse_tot","zip_activities_of_daily_living","zip_admin_current","zip_admin_previous","zip_admin_prior","zip_admin_tot","zip_afam","zip_aid_hprd","zip_all_current","zip_all_previous","zip_all_prior","zip_all_tot","zip_asan","zip_benefits","zip_catheter","zip_caucasn","zip_class_AA_count","zip_class_A_count","zip_class_B_count","zip_depeat","zip_depsum","zip_deptoil","zip_deptran","zip_env_current","zip_env_previous","zip_env_prior","zip_env_tot","zip_ex_total","zip_fall","zip_federal_penalty_amount","zip_high_risk_pressure_sores","zip_hispan","zip_less45","zip_long_antipsychotic","zip_long_stay_pain","zip_ls_current","zip_ls_previous","zip_ls_prior","zip_ls_tot","zip_lvn_hprd","zip_nativ","zip_net_income_03","zip_net_income_04","zip_net_income_05","zip_net_income_06","zip_net_income_07","zip_net_income_08","zip_net_income_09","zip_net_income_10","zip_net_income_11","zip_net_income_current","zip_netincomemargin_03","zip_netincomemargin_04","zip_netincomemargin_05","zip_netincomemargin_06","zip_netincomemargin_07","zip_netincomemargin_08","zip_netincomemargin_09","zip_netincomemargin_10","zip_netincomemargin_11","zip_netincomemargin_current","zip_nhoverall_rating","zip_numbeds","zip_nursing_turnover","zip_nut_current","zip_nut_previous","zip_nut_prior","zip_nut_tot","zip_occup_rate","zip_othrace","zip_over85","zip_pct_behv","zip_pct_exsp","zip_pct_imp","zip_pct_mcal","zip_pct_mcare","zip_pct_other","zip_pct_phys","zip_pct_reh","zip_pct_self","zip_pctfem","zip_pctmale","zip_pharm_current","zip_pharm_previous","zip_pharm_prior","zip_pharm_tot","zip_pt_hprd","zip_qc_current","zip_qc_previous","zip_qc_prior","zip_qc_rating","zip_qc_tot","zip_qualityoffacility_rating","zip_ra_current","zip_ra_previous","zip_ra_prior","zip_ra_tot","zip_restraints","zip_rev_mcal","zip_rev_mcare","zip_rev_other","zip_rev_self","zip_rr_current","zip_rr_previous","zip_rr_prior","zip_rr_tot","zip_short_antipsychotic","zip_short_stay_pain","zip_short_stay_pressure_sores","zip_srn_hprd","zip_staffingrating","zip_state_penalty_amount","zip_tot_hprd","zip_total_abuse","zip_total_admin","zip_total_care","zip_total_environ","zip_total_nutri","zip_total_rights","zip_total_staff","zip_total_total","zip_urinary_tract_infection","zip_wph_admin","zip_wph_aide","zip_wph_lic","zip_yr45to64","zip_yr65to84","zip_cmswatchlist","zip_accred","zip_campaignexcellence","zip_aids","zip_alzheimers","zip_chain_facs","zip_num_freestanding","zip_num_hospital","zip_hospice","zip_icf","zip_mcare_days_high","zip_mcare_days_low","zip_mental_health","zip_has_mlrc","zip_for_profit","zip_non_profit","zip_govt_owned","zip_mcal_payment","zip_mcare_payment","zip_private_pay","zip_residential","zip_rehabilitation","zip_substance_abuse","zip_ventilator","zippop","sd1_district","sd1_pct","sd1_num","sd2_district","sd2_pct","sd2_num","sd3_district","sd3_pct","sd3_num","ad1_district","ad1_pct","ad1_num","ad2_district","ad2_pct","ad2_num","ad3_district","ad3_pct","ad3_num","ad4_district","ad4_pct","ad4_num","ad5_district","ad5_pct","ad5_num","cd1_district","cd1_pct","cd1_num","cd2_district","cd2_pct","cd2_num","cd3_district","cd3_pct","cd3_num","cd4_district","cd4_pct","cd4_num","justzip","num_beds","num_emtpy_beds","total_beds","num_empty_beds"
"109","91208
(34.19002210700046, -118.2271663619997)",1,"Los Angeles","Los Angeles",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,NA,0,0,0,0,4,4.2,9,7,9,25,5,8.2,NA,89,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,9,3,NA,NA,0,0,2,2,2.1,0,1260615,4557471,746139,-3263324,590598,-2570340,2161365,2232407,1241879,NA,2,6.6,1.1,-5,0.8,-3.7,2.8,2.7,1.6,NA,4,18,NA,1,1,1,3,67,2,28,0,0,0,0,36,64,96,4,NA,61,39,2,0,1,3,NA,5,4,4,1,13,4,1,1,1,3,NA,NA,1937,1095.4,NA,0,0,0,0,0,NA,4.2,3.1,5,0,9.3,0,0,0,0,0,0,0,0,NA,56.3,16.3,35.1,17,52,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,10133,25,"100%",10133,NA,"",NA,NA,"",NA,43,"100%",10133,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,28,"100%",10133,NA,"",NA,NA,"",NA,NA,"",NA,"91208",5.94,5.94,18,5.94
"110","91214
(34.228570997000475, -118.2469491709997)",1,"Los Angeles","Los Angeles",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,8,2,0,0,2,0,2,0,6,27.6,15.2,45.2,12,2,0,1,3,11.9,0,0,1,1,3,2.2,19,17,15,51,3,6.6,2.6,84,0,0,1,39,52,65,53,1,2,0,3,264,1.4,0,5.2,9,1,27.7,3.5,5,2,4,11,0.8,0,-140892,-305217,225686,335885,1049811,714247,469487,694726,505375,612977,-2.8,-5.9,4,5.4,14.4,9.1,6.1,8.5,6.1,6.9,2,92,18.5,1,1,1,3,93,10,55,0,17.4,0,65.5,20.1,3.4,46.7,35.9,10.9,78,22,2,2,0,4,0.2,5,8,8,4,21,2,0,0,0,0,5.8,167.7,712.3,161.8,226.2,3,2,0,5,4,7.5,0,0.4,2,1000,3.4,2,0,6,4,0,2,0,14,4.4,64.3,12.7,28.4,7,37,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,17753,25,"100%",17753,NA,"",NA,NA,"",NA,43,"98.4%",17475,39,"1.6%",278,NA,"",NA,NA,"",NA,NA,"",NA,28,"100%",17753,NA,"",NA,NA,"",NA,NA,"",NA,"91214",6.44,6.44,92,6.44
"111","91303
(34.19807340300048, -118.59909883299969)",1,"Los Angeles","Los Angeles",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,27.8,6.4,52.5,13.3,0,0,1,1,2.5,0,2,1,3,4,2.6,19,13,24,56,8,4.5,4.3,65,0,0,0,8,14,21,12,0,1,1,2,278.2,0,0,4.7,8,0,16.5,0,7,4,4,15,0.6,0,-716888,NA,-1748835,504850,1402345,2917317,3255047,3006815,3072308,2288504,-9.2,NA,-31.8,4.8,10.8,18.8,19.4,17.5,17.6,13.1,4,185,10.2,1,0,1,2,80,23,49,0,37.4,0,55,35.2,3.5,30.6,32,6.3,73,27,2,1,3,6,0.1,6,3,10,5,19,3,0,1,0,1,7.4,180.6,547.3,309.8,276,3,1,3,7,1.2,6.1,0,0.6,3,0,3.9,0,0,2,0,0,0,0,2,2.1,48.2,12.3,29.9,4,47,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,7922,27,"100%",7922,NA,"",NA,NA,"",NA,45,"100%",7922,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,30,"100%",7922,NA,"",NA,NA,"",NA,NA,"",NA,"91303",37,37,185,37
"112","91304
(34.22192313800048, -118.60967892099967)",2,"Los Angeles","Los Angeles",3.5,0,0,0,1,2,0.5,0,0,0,3.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,6,0,0,0,0,0,0,0,0,25.9,6,55.9,12.2,0.5,1,0,1.5,7.2,0,0,0,0,4,2.7,12.5,19.5,13,45,9,5.4,4,65.5,0,0,0,29.5,31,34.5,28.5,0.5,1,0,1.5,355.4,0.9,0,8.8,14,3,8.8,2.4,3.5,4,2.5,10,1.4,0,-47547,789866,948776,1041315,745826,481296,1707101,2133872,1344953,1877407,-1.3,8,8.3,7.7,6.3,3.8,12.5,13.2,7.7,10.5,3.5,128.5,21.2,1.5,1,2,4.5,92,21.5,34.5,0.4,38.5,0,65.1,21.5,9.4,29.7,31.5,4,62.5,37.5,1.5,1.5,1,4,0.2,4,6,7,4.5,17,3,0.5,0.5,0,1,5.4,316.2,646.4,462.2,352.6,0.5,4.5,0.5,5.5,1.2,9.8,0.3,0.7,3.5,0,4.8,0,1,8,0.5,0,1,0,10.5,4.2,58.8,12.7,28.5,18.5,44,0,0,1,0,0,1,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,1,1,21842,27,"100%",21842,NA,"",NA,NA,"",NA,45,"99.4%",21708,38,"0.6%",134,NA,"",NA,NA,"",NA,NA,"",NA,30,"99.4%",21708,25,"0.6%",134,NA,"",NA,NA,"",NA,"91304",20.56,20.56,257,20.56
"113","91306
(34.208401481000465, -118.5759399529997)",1,"Los Angeles","Los Angeles",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,8.3,49.3,17.8,0,1,1,2,11.8,0,0,0,0,14,2.7,9,12,12,33,3,4.6,1.1,63,0,0,0,22,34,53,27,0,0,0,0,174.3,2.2,0,3.8,20,0,38.6,0,1,3,3,7,0.6,0,44123,72029,369275,3410,74189,5618,-175640,-79749,167789,-204245,1.2,1.9,8.2,0.1,1.6,0.1,-3.4,-1.5,2.9,-3.7,4,94,10.1,1,0,1,2,96,20,43,0,16.3,14.1,80.2,3.7,8.2,54.3,15.2,7.8,65,35,2,1,1,4,NA,4,5,4,5,13,4,0,0,0,0,23.6,149.3,624,NA,261.9,1,2,2,5,NA,NA,NA,0.1,1,0,3.5,1,0,0,0,0,0,0,1,2.2,63.4,13.3,28.5,2,55,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,19083,27,"100%",19083,NA,"",NA,NA,"",NA,45,"100%",19083,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,30,"100%",19083,NA,"",NA,NA,"",NA,NA,"",NA,"91306",3.76,3.76,94,3.76
"114","91307
(34.197812702000476, -118.63800835599972)",1,"Los Angeles","Los Angeles",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,24.8,8.8,53.6,12.8,0,1,1,2,25.5,0,1,0,1,1,2.7,16,15,15,46,18,4.4,7.7,77,0,0,1,23,31,43,27,2,1,1,4,294.1,0,0,15.3,4,3,26.2,1.7,4,2,1,7,0.9,0,-416910,234982,591753,11610,218424,-659756,201367,-581884,1550814,NA,-9.8,6.4,8.2,0.1,2.6,-7.5,1.8,-5.4,13.2,NA,2,128,44.9,1,1,0,2,72,4,46,0,42.7,2.1,59.2,29.7,1.7,13.5,41.7,9.4,64,36,2,3,3,8,0.4,5,4,9,4,18,2,1,1,0,2,0,154.4,633.4,278.2,189.6,1,1,0,2,0,13.5,0.7,0.5,2,1000,4,0,0,2,0,0,0,0,2,6.1,54.7,10.7,24.7,7,44,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,15205,27,"100%",15205,NA,"",NA,NA,"",NA,45,"100%",15205,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,30,"100%",15205,NA,"",NA,NA,"",NA,NA,"",NA,"91307",35.84,35.84,128,35.84
"115","91311
(34.25282047300044, -118.5950275619997)",2,"Los Angeles","Los Angeles",4,0,0,0,0,2,0,0,1.5,0,3.5,0,2,2,0,2,0,0,6,1.5,0,1.5,0,0,0,0,3,0,0,0.5,0,0,1,0,1.5,0,0,1,0,0,0,0,1,26.9,8.8,51.5,12.8,1,1,1,3,5.1,0.5,1,0,1.5,5.5,2.6,16,17.5,14.5,48,6,4.4,2.3,71.5,0,2,0,22.5,29,36.5,27.5,1.5,1.5,1,4,244.6,1.5,0,8.8,10,0,28.9,2.1,5,2.5,2.5,10,0.8,0,192065,243112.5,577545,521267,440691.5,452645.5,821929,1071148.5,1079674.5,530423.5,2.1,2.6,6.7,5.6,4.3,4,7,9.2,8.1,3.4,2.5,130,30.9,0.5,0.5,0.5,1.5,89,17,31.5,2.4,15.9,11.3,66.8,16.8,13.4,44.9,25.5,2.9,57,43,2.5,2,0.5,5,0.3,4,7.5,8,4.5,19.5,2,0.5,0.5,0,1,8.8,168.8,544.9,257.9,209.4,0.5,1,1,2.5,1.3,7,0.5,0.4,2,38000,3.8,1.5,2,7,0,2,2.5,0,15,3.6,65.2,12.3,27.1,12.5,56,0,0,0,0,1,2,2,0,0,0,1,1,0,0,2,0,0,2,2,0,0,0,0,0,21031,27,"100%",21031,NA,"",NA,NA,"",NA,38,"53.3%",11199,45,"46.8%",9832,NA,"",NA,NA,"",NA,NA,"",NA,30,"96.1%",20208,25,"3.9%",823,NA,"",NA,NA,"",NA,"91311",28.6,28.6,260,28.6
"116","91320
(34.181362512000476, -118.93538922299967)",1,"Ventura","Santa Barbara/Ventura",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,10.5,0,0,0,0,2,5.3,3,7,5,15,4,NA,5,87,0,0,0,25,27,36,19,0,0,0,0,NA,0,0,0,7,0,16.7,NA,2,3,2,7,0.1,0,1274652,304728,90235,936118,726558,-781850,-28372,164469,107154,NA,34,7.5,2.2,20.9,15.1,-15.3,-0.5,2.9,1.8,NA,5,61,20.7,0,0,0,0,NA,7,67,0,23.2,8.9,NA,NA,NA,55.4,12.5,NA,74,26,1,1,0,2,0.1,0,2,3,4,5,5,0,1,0,1,4.2,NA,NA,NA,NA,0,0,0,0,4,NA,0,1.1,5,0,6.5,0,0,2,0,0,0,0,2,6.3,NA,NA,NA,7,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,25001,27,"100%",25001,NA,"",NA,NA,"",NA,44,"100%",25001,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,26,"100%",25001,NA,"",NA,NA,"",NA,NA,"",NA,"91320",NA,NA,61,NA
"117","91321
(34.38552128500049, -118.51401927999967)",1,"Los Angeles","Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,25.6,13.6,46.5,14.2,0,1,0,1,17.5,0,0,1,1,11,2.5,23,34,24,81,9,3.9,4.5,66,0,2,0,11,20,28,20,1,3,1,5,224,0,0,8.9,14,2,34.8,4.3,4,2,3,9,0.8,0,61744,124896,-33260,-194506,-130658,384867,-128886,103264,-103107,-44413,1.4,2.6,-0.7,-3.7,-2.2,5.8,-2,1.5,-1.4,-0.6,1,99,67.9,2,1,1,4,91,14,28,0,40,2.1,66.1,13.6,19.1,29.5,28.4,1.2,62,38,2,4,3,9,0.1,11,19,11,4,41,1,1,2,1,4,0,156.5,518.4,242.8,182.9,2,2,3,7,2,25.8,0.7,0.3,2,30000,3.7,0,0,7,0,0,0,0,7,0,48.9,9.6,22.1,31,39,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,14401,27,"50.6%",7292,21,"49.4%",7109,NA,"",NA,38,"99.8%",14377,39,"0.2%",24,NA,"",NA,NA,"",NA,NA,"",NA,25,"99.8%",14378,29,"0.2%",23,NA,"",NA,NA,"",NA,"91321",8.91,8.91,99,8.91
"118","91325
(34.23588364000045, -118.5210581879997)",1,"Los Angeles","Los Angeles",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,11.8,10.9,69.9,7.4,0,0,0,0,NA,0,0,1,1,0,2.8,11,10,10,31,0,6.3,NA,100,0,0,0,11,19,22,22,0,0,1,1,351.8,NA,0,NA,2,0,NA,NA,4,2,0,6,0.4,0,1768314,1403957,1415208,1528776,1261710,1013169,1017980,482521,942476,657236,45.3,35.1,33.5,27.1,26.5,20.6,18.8,8.6,11.9,9.3,4,45,42.3,2,2,1,5,89,0,63,0,13.7,0,0,61.6,0,21.6,64.7,38.4,74,26,1,1,1,3,0.5,1,4,4,5,9,3,0,0,1,1,NA,NA,620.2,NA,267.8,3,1,1,5,0.9,10.7,0.4,1.2,3,0,4.4,0,0,2,2,0,0,0,4,NA,52.6,12.1,32.3,0,37,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,16205,18,"87%",14103,27,"13%",2102,NA,"",NA,45,"86%",13939,46,"12.3%",1993,38,"1.7%",273,NA,"",NA,NA,"",NA,30,"99.9%",16193,29,"0.1%",12,NA,"",NA,NA,"",NA,"91325",4.95,4.95,45,4.95
"119","91335
(34.200180731000444, -118.54031959799971)",6,"Los Angeles","Los Angeles",3.7,0,0,0,0.2,1.3,0,0.2,0.2,0,1.8,0,0,1.2,0,0,0.8,0,2,0,0,0.3,0,0,0,0,0.3,0,0.7,2,0,0,0.3,0,3,0.7,0,0,0,0,0,0,0.7,20.4,7.8,56.7,15,0.2,0.5,0,0.7,9.4,0.3,0.5,0.2,1,2.2,2.5,15.7,15.8,15.7,47.2,6,5.8,4.6,82.2,0,0.2,0.2,19.8,23.7,25.3,25.8,1.3,1.2,0.5,3,309.5,1.2,0,6.2,6.7,0.8,16.5,7,3.5,3,4.5,11,1.4,0,657128.6,496285.3,574272.8,-417021.8,-74081.3,19799562,918772.6,1335987,4131612.3,32031.6,10,4,5.3,-3.1,-0.2,20.5,3.9,6,5.1,0.9,3.3,143.8,16.2,1,1.5,1.2,3.7,93.7,9.7,55.5,0.2,32.6,4.9,68.3,13.3,12.4,39,23.4,7.2,70.7,29.3,3,1.7,1.8,6.5,0.1,6,5.8,5.8,4.5,17.7,2.5,0.2,0.7,0.5,1.3,2.1,246.3,607.3,345.7,295.8,0.2,1,1.2,2.3,3.3,11.9,1.9,0.7,3.5,2583.3,4.5,0.7,0.8,4.8,0,0.2,1.3,0,7.8,3.9,59.8,12.6,26.1,9.7,34,0,0,2,0,0,6,5,1,0,0,0,6,0,0,3,3,0,6,6,0,1,0,1,1,29718,27,"100%",29718,NA,"",NA,NA,"",NA,45,"100%",29718,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,30,"100%",29718,NA,"",NA,NA,"",NA,NA,"",NA,"91335",54.3564,54.3564,862.8,54.3564
"120","91342
(34.30514302800049, -118.43521825999971)",8,"Los Angeles","Los Angeles",2.8,0,0,0.5,1.3,1,0.3,0,0.1,0,3.1,0.1,0,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0,0.4,0.3,0.3,1,0.3,0,0.3,0,2,0.4,0.5,0.6,0.4,0,0.3,0,2.1,22.8,10.4,51.7,15,0.8,0.5,0.4,1.6,7.5,0.3,0.4,0.1,0.8,10.5,2.5,21.6,18.3,18.5,58.4,4.1,4.3,4.1,58.8,0,0.1,0.3,20.8,25,27.5,26.5,1.1,1.5,1,3.6,227.4,1.3,0,6.2,25.4,9,28.1,4.7,5.3,3.8,4.3,13.3,0.9,0.3,-417580.3,52278.7,-105613.4,92179.1,416355.5,450838.8,379219.5,411423.1,865131.5,401575.1,-7.3,0.8,-3.9,-0.4,2.6,3.3,2.7,2.7,5.6,2.8,2.4,143.5,41.8,2.1,1.1,1.1,4.4,91.6,26.4,12.9,22.6,36.7,3.9,63.5,8.1,25.7,24.5,12.4,2.8,44.6,55.4,1.6,2.3,1.8,5.6,0.1,8.4,6.6,7.6,4.4,22.6,1.9,0.9,0.4,0.3,1.5,2.4,180.1,619.9,268.8,204.6,1.3,1.8,2,5,4.9,17.8,0.7,0.3,2,2600,3.7,1.3,2,3,0.9,0,0.6,0,7.8,4.6,48.6,11,26,41.3,36.9,0,0,2,1,1,5,8,0,1,0,0,8,0,0,8,0,0,8,6,0,0,1,2,3,36066,18,"95.2%",34335,25,"4.8%",1731,NA,"",NA,39,"100%",36058,38,"0%",4,43,"0%",4,NA,"",NA,NA,"",NA,29,"98.7%",35589,28,"1.3%",473,30,"0%",4,NA,"",NA,"91342",96.4320000000001,96.4320000000001,1148,96.4320000000001
"121","91343
(34.235514315000444, -118.4752661759997)",1,"Los Angeles","Los Angeles",2,0,0,1,1,4,0,0,0,0,6,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,0,2,0,0,0,0,0,2,21.7,7.8,59.3,11.2,1,1,0,2,14.5,1,0,0,1,9,2.4,25,16,22,63,4,6,5.9,62,0,0,0,38,40,24,58,1,2,1,4,300,0,0,8.5,25,6,12.9,5.6,5,2,3,10,1.2,0,57832,9961,-93882,56848,595161,487310,460740,580182,-25291,116814,0.6,0.1,-0.9,0.5,5,3.9,3.6,4.4,-0.2,0.8,4,138,23.7,2,0,4,6,90,25,36,0,52.9,0,68.3,4.8,21.1,22.3,24.8,5.8,58,42,3,3,2,8,0.1,10,7,10,5,27,2,0,0,1,1,2.1,249.7,540.6,440.5,225.2,2,1,1,4,2.3,3.2,0.4,0.8,4,0,4.3,4,3,7,0,0,1,0,15,0,62.7,13,30.4,20,38,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,21730,18,"100%",21730,NA,"",NA,NA,"",NA,46,"87%",18901,45,"13%",2829,NA,"",NA,NA,"",NA,NA,"",NA,29,"86.7%",18837,30,"13.3%",2893,NA,"",NA,NA,"",NA,"91343",13.8,13.8,138,13.8
"122","91344
(34.274801855000476, -118.50113633899969)",4,"Los Angeles","Los Angeles",3.5,0,0,1.8,0.8,2.5,0,0,0.3,0,5.3,0.3,0.3,0.5,0,0,0.3,0,1.3,0,1.3,1.5,0,0,0,0,2.8,0,0.8,1.3,0,0,0,0,2,0,0,0,0,0,0,0,0,26.1,10.4,49,14.5,0.5,0,0.8,1.3,8.7,0.5,0.5,0,1,5,2.5,17,16.8,15.3,49,11.3,4.4,4.7,52.5,0,0,0,13,18.8,20.8,22.3,1,1,1,3,246.3,0.7,0,6.6,27.3,0.3,16.5,4.8,5.5,4.3,4.8,14.5,0.7,0,-135987.3,238674,255268.3,-216027,134686,409865,587786.3,1243283,959035.3,806125,-3.2,4.7,4.5,-4.3,1.7,5.4,5.7,11,9.9,8.1,3.8,86.3,34.4,1,1,1,3,93.3,31.3,42.8,0,31.9,2.5,66.4,22.4,5.1,36.3,29.4,6.2,68.3,31.8,1.3,2,1,4.3,0.2,5,6.3,5.5,4.8,16.8,3,1,1.5,0.5,3,2.7,165.5,606,221.2,185.6,1.3,0.3,0.8,2.3,1.3,17.1,0.2,0.4,2,0,3.6,2,3,5.8,0,0,0.5,0,11.3,4.6,54.1,10.8,26.4,7.5,49.5,0,0,1,0,0,3,4,0,0,0,1,3,0,0,4,0,0,4,4,0,0,0,1,0,28520,18,"99.6%",28408,27,"0.4%",112,NA,"",NA,38,"74.1%",21130,39,"25%",7119,46,"1%",271,NA,"",NA,NA,"",NA,30,"80.1%",22844,29,"19.8%",5645,25,"0.1%",31,NA,"",NA,"91344",23.1284,23.1284,345.2,23.1284
"123","91345
(34.262123129000486, -118.46175755399969)",2,"Los Angeles","Los Angeles",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,18,4.7,55.3,22,0,0,0,0,8.3,0,0,0.5,0.5,1.5,3.2,9,8.5,11,28.5,9.5,9,4.4,86,0,0,0,44,51.5,60,51,0,0.5,0,0.5,176.8,0.8,0,4.3,17,14,8.9,0.7,4,3,4.5,11.5,1.1,0,1227559.5,1444516,5178477,9934122,12265538.5,11200417,14228724,27712167.5,17130241,-120859,-1.5,0.1,3.6,7.5,5.5,7.6,8.8,11.8,7,-1,4.5,121,8.8,1,0.5,0.5,2,93,3,36,0.3,56,9.4,95.6,2.1,1.1,30.2,4.2,2.5,70,30,0.5,0.5,2,3,NA,2.5,4,3.5,3.5,10,4,0.5,0,0,0.5,3.6,1690.5,7381.5,7346.6,258.9,0.5,0,0,0.5,NA,NA,NA,1.7,3.5,0,6.1,0,1,2,0,0,0,0,3,4.1,56.7,16.2,35.2,17.5,32.5,0,0,1,0,0,2,1,1,0,0,0,2,0,0,0,2,0,2,2,0,0,0,1,1,8566,18,"100%",8566,NA,"",NA,NA,"",NA,39,"98.2%",8413,46,"1.8%",153,NA,"",NA,NA,"",NA,NA,"",NA,29,"100%",8566,NA,"",NA,NA,"",NA,NA,"",NA,"91345",16.94,16.94,242,16.94
"124","91352
(34.22551211300049, -118.37651723499971)",3,"Los Angeles","Los Angeles",3.7,0,0,0.3,0,0,0,0,0.3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.7,0,0,0.7,0,3,0,0,0,0,0,0,0,0,20.3,4,61.8,13.9,0.3,0.7,0,1,37,0,1,0,1,12.3,3.2,13.7,18,14.3,46,5.3,9.3,2.5,49.7,0,0.7,0.3,69.7,63.3,65,54.7,1.3,0.7,1,3,785.5,0,0,4.3,32.3,40.3,10.9,9.7,3.7,6.3,5.3,15.3,3.4,16.3,199372,9952161.3,1512434.5,-1038539,-4351970,-4081990.7,-2224651.7,-2660324.3,5151181.7,-86178,-1.2,-9.3,-18.4,4.6,-8.8,-7.8,-0.3,-5.3,12.5,1.4,3,67,12.6,0.7,1.7,1.3,3.7,87.7,16.3,22.7,0,69.4,0.6,84.3,7.1,0.8,19.2,10.7,11.8,55,45,0.7,1,1.3,3,0.2,6.7,4.3,4.3,3.7,15.3,2.7,0,0.7,0.3,1,2.2,1012.7,709.9,811.1,170.6,0.3,1.7,0.7,2.7,NA,9.5,1.5,0.9,4.3,13500,7.5,0.3,1.7,0.7,0,0,1,0,3.7,4.4,48.9,14.7,28,19.3,17.7,0,0,1,0,0,1,2,1,0,0,0,3,0,0,2,1,0,3,3,0,1,0,2,1,17204,18,"77.3%",13295,25,"22.7%",3909,NA,"",NA,39,"99.9%",17194,43,"0.1%",10,NA,"",NA,NA,"",NA,NA,"",NA,29,"77.3%",13295,28,"22.7%",3909,NA,"",NA,NA,"",NA,"91352",24.723,24.723,201,24.723
