"","nursing.zippop","nursing.just_zip"
"290",25080,"92882"
"291",31132,"92886"
"292",29469,"93003"
"293",24983,"93010"
"294",21100,"93012"
"295",6958,"93015"
"296",12845,"93023"
"297",19245,"93030"
"298",22056,"93033"
"299",15839,"93036"
"300",12519,"93060"
"301",29851,"93063"
"302",15317,"93105"
"303",7508,"93108"
"304",9259,"93110"
"305",10950,"93111"
"306",4016,"93203"
"307",4920,"93210"
"308",11459,"93215"
"309",26181,"93230"
"310",3292,"93240"
"311",4167,"93247"
"312",20796,"93257"
"313",5686,"93263"
"314",22643,"93274"
"315",22129,"93277"
"316",16875,"93291"
"317",15140,"93292"
"318",5369,"93301"
"319",17048,"93304"
"320",12128,"93305"
"321",28132,"93306"
"322",26883,"93309"
"323",28793,"93312"
"324",15900,"93401"
"325",18053,"93420"
"326",17686,"93422"
"327",20714,"93436"
"328",7037,"93442"
"329",12599,"93454"
"330",9811,"93458"
"331",4591,"93463"
"332",5606,"93465"
"333",7013,"93514"
"334",15139,"93534"
"335",32106,"93536"
"336",1008,"93545"
"337",16501,"93555"
"338",2133,"93602"
"339",5562,"93610"
"340",25871,"93611"
"341",16525,"93612"
"342",8190,"93618"
"343",3200,"93620"
"344",3074,"93625"
"345",8043,"93631"
"346",13316,"93635"
"347",13294,"93637"
"348",10510,"93638"
"349",4723,"93644"
"350",10911,"93654"
"351",15425,"93657"
"352",10658,"93662"
"353",14956,"93702"
"354",12033,"93703"
"355",15797,"93706"
"356",14745,"93710"
"357",25388,"93720"
"358",1392,"93721"
"359",9063,"93725"
"360",17778,"93726"
"361",28883,"93727"
"362",12156,"93901"
"363",21290,"93906"
"364",8415,"93923"
"365",3998,"93930"
"366",15065,"93940"
"367",8878,"93950"
"368",5017,"93960"
"369",14228,"94002"
"370",22403,"94010"
"371",22803,"94015"
"372",12281,"94022"
"373",14115,"94024"
"374",21618,"94025"
"375",4833,"94028"
"376",10866,"94030"
"377",1608,"94038"
"378",13297,"94040"
"379",21295,"94044"
"380",16392,"94062"
"381",18599,"94066"
"382",23779,"94087"
"383",16071,"94107"
"384",31861,"94109"
"385",42445,"94110"
"386",37387,"94112"
"387",24502,"94114"
"388",21597,"94115"
"389",24673,"94116"
"390",27343,"94117"
"391",24232,"94118"
"392",33364,"94122"
"393",15466,"94123"
"394",10446,"94301"
"395",1387,"94304"
"396",19498,"94403"
"397",32833,"94501"
"398",13536,"94506"
"399",25182,"94509"
"400",13799,"94518"
"401",9255,"94519"
"402",10916,"94520"
"403",22947,"94521"
"404",18983,"94523"
"405",20964,"94526"
"406",13466,"94530"
"407",29092,"94533"
"408",30800,"94536"
"409",23181,"94538"
"410",23934,"94541"
"411",26053,"94544"
"412",13049,"94545"
